id,name,lat,lng,disasterType,victimsText,status,severity,description,lastUpdate,source
humbahas,Kab. Humbang Hasundutan (Sumut),2.2588,98.8354,Banjir Bandang,"5 Meninggal, 4 Hilang",Darurat,high,"Banjir bandang menerjang pemukiman, menyebabkan 9 orang luka-luka.",27-Nov-2025,MetroTV
tapsel,Kab. Tapanuli Selatan (Sumut),1.5,99.25,Banjir Bandang,"17 Meninggal, 2.8k Mengungsi",Kritis,critical,~58 luka-luka akibat material longsor. Pengungsian di dataran tinggi.,28-Nov-2025,Detikcom
taput,Kab. Tapanuli Utara (Sumut),2.0234,99.0667,Longsor & Banjir,9 Meninggal,Siaga,high,Longsor menutup akses jalan utama dan menimpa rumah warga.,28-Nov-2025,Detikcom
sibolga,Kota Sibolga (Sumut),1.7385,98.7834,Banjir & Longsor,"8 Meninggal, 21 Hilang",Kritis,critical,"Jumlah korban hilang cukup tinggi, tim SAR fokus pada pencarian.",27-Nov-2025,Tirto.id
tapteng,Kab. Tapanuli Tengah (Sumut),1.8797,98.75,Banjir & Longsor,"4 Meninggal, 447 Mengungsi",Siaga,high,Dampak banjir meluas di wilayah Sibolga dan Tapteng.,28-Nov-2025,Detikcom
pakpak,Kab. Pakpak Bharat (Sumut),2.5667,98.2833,Banjir & Longsor,2 Meninggal,Waspada,medium,Curah hujan tinggi menyebabkan ketidakstabilan tanah.,28-Nov-2025,Detikcom
nisel,Kab. Nias Selatan (Sumut),0.8297,97.8042,Banjir & Longsor,1 Meninggal,Waspada,medium,Pulau Nias terdampak cuaca ekstrem.,28-Nov-2025,Detikcom
pidie,Kab. Pidie (Aceh),5.386,95.955,Banjir,-,Siaga,medium,Banjir melanda wilayah Pidie akibat curah hujan tinggi.,27-Nov-2025,Antara
acehbesar,Kab. Aceh Besar (Aceh),5.394,95.518,Banjir,-,Siaga,medium,Banjir merendam pemukiman warga di Aceh Besar.,27-Nov-2025,Antara
pidiejaya,Kab. Pidie Jaya (Aceh),5.166,96.216,Banjir,-,Siaga,medium,Luapan sungai menyebabkan banjir di Pidie Jaya.,27-Nov-2025,Antara
acehtimur,Kab. Aceh Timur (Aceh),4.629,97.643,Banjir,-,Siaga,medium,Banjir meluas di beberapa kecamatan Aceh Timur.,27-Nov-2025,Antara
acehutara,Kab. Aceh Utara (Aceh),4.978,97.142,Banjir,-,Siaga,medium,Aceh Utara terdampak banjir cukup parah.,27-Nov-2025,Antara
acehselatan,Kab. Aceh Selatan (Aceh),3.285,97.218,Banjir,-,Siaga,medium,Genangan air dilaporkan di Aceh Selatan.,27-Nov-2025,Antara
subulussalam,Kota Subulussalam (Aceh),2.633,98.006,Banjir,-,Siaga,medium,Kota Subulussalam terdampak banjir kiriman.,27-Nov-2025,Antara
naganraya,Kab. Nagan Raya (Aceh),4.167,96.5,Banjir,-,Siaga,medium,Banjir merendam akses jalan di Nagan Raya.,27-Nov-2025,Antara
